Ticker,Previous_Open,Predicted_Next_Open,True_Next_Open,AI_Advice
AXTI,12.125,12.00931,11.75,HOLD
BNS,10.279999,12.971937,10.279999,BUY
BNTX,21.95,18.632763,18.73,HOLD
BHP,0.0,2.9747066,0.0,BUY
ASIX,18.05,19.06327,17.13,BUY
BITA,12.239999,13.286475,11.9,BUY
BFIN,13.3,13.4445915,13.3,BUY
AXLA,14.21,13.879685,14.3,HOLD
C,16.444382,29.394264,16.288757,BUY
AGM-A,4.999998,6.385393,4.999998,BUY
BSTC,4.0,4.97118,4.0,BUY
ADMS,14.999999,14.949096,15.389999,HOLD
BGB,20.02,19.785896,20.0,HOLD
CDXC,11.25,10.907311,11.25,HOLD
CCD,0.030000687,5.497678,0.025001526,BUY
CASS,0.15057755,1.6411762,0.15057755,BUY
AMRX,16.47,16.2104,16.99,HOLD
CANF,72.75,74.21083,73.2,BUY
BPOPM,19.04,19.319347,19.04,BUY
AOS,9.536743e-07,1.5870333,9.536743e-07,BUY
BAP,10.549248,16.867264,10.549248,BUY
AIRI,550.0,513.41046,449.99997,HOLD
ARCT,10.35,10.944962,10.369999,BUY
AZN,4.8125,6.508108,4.854168,BUY
ALGR,9.57,9.624041,9.55,BUY
ALTM,8.19,7.871578,7.98,HOLD
AEM,0.0,1.7758293,0.0,BUY
CEM,20.36,20.281328,20.75,HOLD
CATB,132.8,123.7867,126.7,HOLD
CCM,7.475404,7.4041204,7.6862264,HOLD
APTV,17.560772,21.126839,17.560772,BUY
AGN,5.6875,9.737873,5.9375,BUY
BEP,15.41,15.808246,16.35,BUY
AWF,15.125,15.0650625,15.125,HOLD
ARCO,22.25,21.9223,22.05,HOLD
ALACR,2.95,2.9844315,2.95,BUY
BKH,1.9027805,2.9145088,1.9027805,BUY
BCH,4.776659,5.961479,4.690814,BUY
CAT,1.71875,4.75111,1.697916,BUY
ACRX,3.62,3.8732433,3.94,BUY
APEX,12.75,11.616741,12.75,HOLD
AEG,1.3882208,1.9003286,1.3882208,BUY
ANTE,82.05,84.331345,82.5,BUY
CDXS,13.439999,13.396681,13.41,HOLD
ANDA,9.7,9.721343,9.76,BUY
AMRK,12.988,12.918569,13.39,HOLD
CBRE,6.2666683,7.7444363,6.333332,BUY
BDC,6.0740757,8.227316,5.925928,BUY
ATHE,29.7,28.874489,28.740002,HOLD
BWEN,32.7,33.239807,33.5,BUY
BBQ,8.25,8.402997,8.25,BUY
CALX,14.619999,13.812571,14.199999,HOLD
AMHC,9.8,9.839362,9.88,BUY
BCBP,10.472727,10.352555,10.181818,HOLD
ABIO,623700.0,651938.8,629370.0,BUY
AC,240.362,231.19283,50.41002,HOLD
BEDU,11.98,12.326462,12.5,BUY
AAPL,0.6339302,3.7155685,0.6428566,BUY
ALLT,11.5,11.871752,11.58,BUY
BTN,0.37499976,0.6367543,0.45312476,BUY
ANAB,18.48,21.088501,20.0,BUY
ACNB,21.258503,21.773577,21.54195,BUY
BAM,1.8393869,2.9279966,1.8498573,BUY
ALGN,12.046875,19.287231,11.0,BUY
BDGE,14.666667,14.960735,14.166667,BUY
BKR,18.0,19.384754,17.75,BUY
BHTG,4.65,4.655463,4.65,BUY
CACI,-3.8146973e-06,3.780407,-3.8146973e-06,BUY
ADES,3.0749998,3.3789835,3.1000004,BUY
BANC,14.570001,14.760907,14.570001,BUY
AES,3.4789648,4.2436514,3.7216835,BUY
AVRO,27.01,28.137714,27.59,BUY
BCOR,61.5625,47.953808,53.75,HOLD
BNY,15.0,15.091263,15.12,BUY
AMWD,1.9073486e-06,4.3228817,1.9073486e-06,BUY
AMTX,5.8,5.85738,6.19,BUY
BHB,11.388889,11.943195,11.555555,BUY
ACEL,10.14,10.225141,10.13,BUY
BCOM,11.98,7.1224146,11.67,HOLD
ANIK,4.375001,5.519355,4.375001,BUY
BJ,25.19,24.378555,24.86,HOLD
ACY,7.6875005,8.0125065,7.625,BUY
AMRC,9.95,9.975699,10.0,BUY
ADAP,16.5,16.072336,15.9,HOLD
AON,0.0,4.797348,0.0,BUY
BANX,25.98,24.671265,25.35,HOLD
CET,0.0,-0.9346714,0.0,HOLD
BLU,9.5,56.79596,9.399994,BUY
BOX,17.3,18.136282,17.39,BUY
APEN,1034.88,1002.7742,1024.1,HOLD
ARI,18.35,18.273365,18.25,HOLD
ATO,5.541666,7.4288883,5.5,BUY
AXU,2.68,2.8445163,2.76,BUY
ALLE,43.08,47.73231,42.8,BUY
BROG,9.550001,9.549242,9.550001,HOLD
ATEX,45.92,48.84391,54.0,BUY
BPT,26.125,28.121264,26.0,BUY
ADX,0.0,2.1513424,0.0,BUY
ACTTU,10.08,10.09841,10.07,BUY
BUI,20.08,19.966133,20.1,HOLD
BLW,20.0,19.882517,20.0,HOLD
APXTU,10.17,10.180292,10.19,BUY
CCC,9.6,9.9435835,9.6,BUY
AMED,5.250002,7.8562794,5.250002,BUY
BG,15.999996,20.148846,15.899998,BUY
BGR,25.020002,24.278292,25.030003,HOLD
BATRK,14.44,16.604929,15.12,BUY
CCZ,94.8125,93.78851,97.75,HOLD
AIN,15.701873,16.52692,15.701873,BUY
CBL,9.750001,10.206753,9.6875,BUY
AZO,8.21875,43.523087,7.96875,BUY
BTU,23.95,24.629234,23.41,BUY
CELP,23.39,22.257393,23.23,HOLD
BTAI,10.27,10.574965,10.33,BUY
ADUS,8.110001,10.712421,7.99,BUY
ATCO,1.7757,1.9061816,1.85981,BUY
AJX,14.08,14.055708,14.1,HOLD
CECE,0.0,1.560777,0.0,BUY
B,0.0,2.153926,0.0,BUY
AMZN,1.5416565,34.639923,1.5,BUY
CARO,10.260002,11.318594,9.875,BUY
ASTC,625.0,588.31177,600.0,HOLD
BLRX,61.5,59.099022,60.9,HOLD
AMH,15.98,16.254158,16.0,BUY
ALUS,9.88,9.916043,9.885,BUY
BBCP,9.73,9.789575,9.73,BUY
BCEL,14.9,16.728806,16.49,BUY
ATLC,16.75,16.06017,16.6875,HOLD
CADE,22.55,22.295046,22.35,HOLD
BSD,15.0625,15.225065,15.0,BUY
BCX,20.07,19.412056,20.05,HOLD
BXS,2.6367178,3.6008577,2.6914053,BUY
AMKR,11.625,12.006813,11.0625,BUY
CERC,5.87,6.0195093,5.9,BUY
AZPN,8.4375,9.920343,8.25,BUY
ACOR,6.3500004,7.7086735,6.3500004,BUY
AFINP,24.92,24.87268,25.1,HOLD
ALK,-1.9073486e-06,2.0233793,-1.9073486e-06,BUY
ABMD,5.5625,10.017532,5.625,BUY
ADIL,3.75,3.7541418,3.4899998,BUY
ACH,4.174999,5.8943634,4.249999,BUY
AMBC,22.82,22.525673,22.8,HOLD
BMEZ,21.33,21.153362,21.9,HOLD
AMS,-2.3841858e-07,0.1972909,-2.3841858e-07,BUY
CARR#,28.9082,28.024242,28.9082,HOLD
CBFV,14.699999,14.901208,14.699999,BUY
BST,13.75,14.734512,14.1,BUY
AMAL,16.64,16.846281,16.99,BUY
BTT,25.09,25.02539,25.02,HOLD
AP,-9.536743e-07,0.86688614,-9.536743e-07,BUY
BGNE,25.440002,29.85234,26.940002,BUY
AI,337.5,322.63312,318.75,HOLD
CEA,9.125001,4.553838,9.0,HOLD
ASYS,-4.7683716e-07,-1.393868,-4.7683716e-07,HOLD
CCH,9.62,9.658459,9.64,BUY
ATUS,31.12,31.468279,31.96,BUY
ANIX,0.0,9.738262,0.0,BUY
BKYI,44.4375,46.21578,47.25,BUY
ACST,16.5,16.338215,16.5,HOLD
CANG,10.95,10.854001,10.92,HOLD
BCS,4.7728777,5.742028,4.7728777,BUY
BPYPN,24.32,25.614176,24.36,BUY
BGY,20.01,19.155228,20.01,HOLD
BH,0.0,8.512024,0.0,BUY
CACC,2.6249924,18.709663,2.6249924,BUY
BIIB,3.3333359,9.290474,3.1666718,BUY
ANCN,8.4,8.275365,8.3,HOLD
BKK,15.0,15.044971,15.0,BUY
ANVS,0.014999986,0.10637522,0.014999986,BUY
ANPC,9.7,9.919218,9.97,BUY
AR,53.25,53.39327,54.82,BUY
AVB,21.124992,25.524658,20.999992,BUY
AEYE,17.5,19.560286,17.75,BUY
CENT,8.249999,9.16737,8.249999,BUY
AVGR,5244.0,5326.006,5280.0,BUY
ARAV,1.0,3.0729485,0.94000244,BUY
AMD,0.0,1.4018974,0.0,BUY
AMGN,0.0,5.3861275,0.0,BUY
BSET,0.0,1.8897066,0.0,BUY
BIT,20.02,19.776133,20.01,HOLD
AVT,1.90341,3.2861652,1.84659,BUY
BILL,4.249999,5.85903,4.249999,BUY
AREC,0.46000004,0.7240416,0.46000004,BUY
AYX,15.939999,19.199413,16.679996,BUY
BXMT,270.0,127.07383,270.0,HOLD
AGM,1.75,3.4612408,1.75,BUY
AQMS,5.55,5.3937535,5.61,HOLD
ARC,13.15,11.992118,13.15,HOLD
CCI,10.000004,13.652763,8.250004,BUY
BOOT,14.25,14.269047,14.25,BUY
CCMP,29.000002,32.165462,34.875,BUY
BV,21.92,21.904587,22.05,HOLD
BHFAL,25.09,25.166302,25.1,BUY
ALACU,10.07,10.162722,10.05,BUY
ALIM,10.84,10.496265,10.75,HOLD
ASG,4.7683716e-07,0.81424093,4.7683716e-07,BUY
APLS,13.590001,14.228496,13.920001,BUY
ALG,12.0,14.765375,11.749998,BUY
BE,1.5,1.7060648,1.5,BUY
ADP,0.0,3.0511742,0.0,BUY
